q-Value [nm^-1], Intensity [nm^-1]
0.1, 0.5716761798901022
0.10232929922807542, 0.5716548644681239
0.10471285480508996, 0.5716325281470885
0.10715193052376065, 0.5716091212361718
0.1096478196143185, 0.5715845915503809
0.11220184543019636, 0.5715588842780952
0.1148153621496883, 0.5715319418413273
0.11748975549395294, 0.5715037037475105
0.12022644346174127, 0.5714741064326636
0.12302687708123815, 0.5714430830954246
0.12589254117941673, 0.5714105635210477
0.1288249551693134, 0.5713764738949141
0.1318256738556407, 0.5713407366046753
0.13489628825916536, 0.5713032700304856
0.1380384264602885, 0.5712639883222602
0.14125375446227545, 0.5712228011632047
0.14454397707459277, 0.571179613518569
0.14791083881682077, 0.5711343253686593
0.15135612484362082, 0.5710868314248033
0.1548816618912481, 0.5710370208274549
0.15848931924611134, 0.5709847768245186
0.16218100973589297, 0.5709299764290507
0.16595869074375605, 0.5708724900544443
0.16982436524617442, 0.5708121811255668
0.17378008287493754, 0.5707489056639707
0.1778279410038923, 0.5706825118453197
0.18197008586099836, 0.5706128395268872
0.18620871366628675, 0.5705397197426711
0.19054607179632474, 0.570462974163944
0.19498445997580455, 0.5703824145222225
0.19952623149688797, 0.5702978419919161
0.20417379446695297, 0.5702090465294172
0.20892961308540392, 0.5701158061651365
0.2137962089502232, 0.5700178862447797
0.21877616239495523, 0.5699150386156894
0.22387211385683395, 0.5698070007539519
0.2290867652767773, 0.5696934948272637
0.2344228815319922, 0.5695742266883941
0.23988329190194904, 0.5694488847934913
0.24547089156850305, 0.5693171390389893
0.251188643150958, 0.5691786395103268
0.2570395782768864, 0.5690330151350627
0.2630267991895382, 0.568879872232338
0.2691534803926916, 0.5687187929498989
0.2754228703338166, 0.5685493335791121
0.28183829312644537, 0.56837102273748
0.28840315031266056, 0.568183359407382
0.29512092266663853, 0.5679858108185188
0.3019951720402016, 0.5677778101606296
0.30902954325135906, 0.5675587541116708
0.31622776601683794, 0.567328000165411
0.32359365692962827, 0.5670848637409251
0.3311311214825911, 0.5668286150548302
0.33884415613920255, 0.566558475735515
0.3467368504525316, 0.5662736151565994
0.35481338923357547, 0.5659731464649649
0.36307805477010135, 0.5656561222764184
0.37153522909717257, 0.5653215300096903
0.3801893963205612, 0.5649682868269018
0.3890451449942806, 0.564595234145873
0.3981071705534972, 0.5642011316865864
0.40738027780411273, 0.5637846510109807
0.4168693834703354, 0.5633443685117342
0.42657951880159267, 0.5628787578020701
0.436515832240166, 0.5623861814546228
0.44668359215096315, 0.5618648820333247
0.457088189614875, 0.5613129723578395
0.4677351412871982, 0.5607284249355333
0.4786300923226383, 0.5601090604911613
0.4897788193684462, 0.559452535519627
0.5011872336272722, 0.5587563287821602
0.5128613839913648, 0.5580177266613241
0.5248074602497725, 0.5572338072854437
0.5370317963702527, 0.5564014233284209
0.5495408738576245, 0.5555171833868331
0.5623413251903491, 0.5545774318326737
0.5754399373371569, 0.5535782270376416
0.5888436553555889, 0.5525153178637031
0.6025595860743578, 0.5513841183153143
0.6165950018614822, 0.5501796802516679
0.6309573444801932, 0.5488966640634698
0.6456542290346555, 0.5475293072287686
0.660693448007596, 0.5460713906774456
0.6760829753919817, 0.5445162029153086
0.6918309709189365, 0.5428565018879342
0.7079457843841379, 0.5410844746033234
0.72443596007499, 0.539191694583204
0.7413102413009175, 0.5371690772782113
0.7585775750291838, 0.5350068336650767
0.7762471166286917, 0.5326944223481128
0.7943282347242815, 0.5302205006166715
0.8128305161640993, 0.5275728750696221
